priority	layer	source	short_use_for_modeling	data_to_extract	status	url
1	ME/ecGEM	Characterizing the Interplay of Rubisco and Nitrogenase Enzymes in Anaerobic-Photoheterotrophically Grown Rhodopseudomonas palustris CGA009 through a Genome-Scale Metabolic and Expression Model	CGA009-specific ME-model precedent; Rubisco/nitrogenase capacity; condition-specific growth on acetate/succinate/butyrate/p-coumarate	ME-model assumptions; kcat sensitivity; GPR/protein mapping; reported growth profiles; nitrogenase/Rubisco tradeoffs	Use as primary template for enzyme-capacity layer	https://pmc.ncbi.nlm.nih.gov/articles/PMC9431616/
1	13C-MFA/redox	McKinlay and Harwood 2011 mBio: Calvin cycle flux, pathway constraints, and substrate oxidation state together determine H2 biofuel yield in photoheterotrophic bacteria	Gold-standard redox/CBB/H2 validation logic; isotope-informed flux constraints	Substrate oxidation states; CBB flux requirements; H2 yield; mutant constraints; reported isotope/tracer-derived flux conclusions	Use for internal flux validation targets	https://pubmed.ncbi.nlm.nih.gov/21427286/
1	GEM benchmark	Navid et al. 2019 BMC Bioinformatics: System-level analysis of metabolic trade-offs during anaerobic photoheterotrophic growth in R. palustris	iRpa940 reference model and MOFA/pFBA trade-off logic for photoheterotrophic growth	Reference reaction set; substrate conditions; growth tradeoffs; exchange bounds; MOFA objective choices	Local literature already included; compare carefully to v1.13	https://doi.org/10.1186/s12859-019-2844-z
1	phenotype benchmark	Tec-Campos et al. 2023 PLOS Computational Biology: R. palustris BisA53 GEM accurately predicts phenotypes under multiple growth modes	High-throughput validation style; acceptance targets for phenotype breadth	>350 conditions; carbon/nitrogen source testing; dynamic substrate uptake; photoheterotrophic/photoautotrophic switch validation	Use as publication benchmark, not direct strain transfer	https://doi.org/10.1371/journal.pcbi.1011371
1	proteomics/phenotype	Machine Learning Reveals Proteome-Encoded Growth Predictors of R. palustris CGA009 on Lignin Aromatics	Condition-resolved CGA009 quantitative proteomics and growth phenotypes across lignin aromatics/oxygen regimes	LFQ proteomics for 1857 proteins; 16 substrate-oxygen conditions; growth rates; aerobic/anaerobic regimes; p-coumarate/ferulate/coniferyl alcohol/acetate	Use for ecGEM abundance priors after checking data availability and calibration limits	https://pmc.ncbi.nlm.nih.gov/articles/PMC12776462/
2	TFA	Henry, Broadbelt, Hatzimanikatis 2007: Thermodynamics-based metabolic flux analysis	TFA mathematical basis; Gibbs energy constraints; metabolite concentration bounds	Reaction directionality; deltaG constraints; concentration bounds; uncertainty handling	Use for method justification	https://doi.org/10.1529/biophysj.106.093138
2	TFA/tool	pyTFA: Thermodynamics-based flux analysis in Python	TFA implementation path for genome-scale models	Model conversion patterns; required thermodynamic data; MILP formulation	Use as implementation candidate	https://github.com/EPFL-LCSB/pytfa
2	thermo data	eQuilibrator / component contribution resources	Standard transformed Gibbs energies and uncertainty for biochemical reactions	deltaG0 prime; pH/ionic strength/temperature assumptions; metabolite identifiers	Use for thermodynamic priors	https://equilibrator.weizmann.ac.il/
2	ecGEM/tool	GECKO enzyme-constrained model framework	Enzyme-constrained GEM construction using kcat, MW, and proteomics	Protein pool constraints; enzyme usage; kcat selection; sensitivity analysis	Use as implementation pattern	https://doi.org/10.1038/ncomms15956
2	kinetics database	BRENDA enzyme database	Source of enzyme turnover numbers and organism/substrate metadata	kcat; EC; organism; temperature; pH; substrate; confidence notes	Use only with provenance and uncertainty tiers	https://www.brenda-enzymes.org/
2	kinetics database	SABIO-RK biochemical reaction kinetics database	Alternative curated kinetics source	kcat/Km/Vmax; organism; assay conditions	Use for cross-checking BRENDA and primary papers	https://sabiork.h-its.org/
2	QC	MEMOTE standardized tests for genome-scale metabolic models	Publication-grade model QC framework	MEMOTE scores; failed tests; annotation/consistency benchmarks	Continue every candidate release	https://doi.org/10.1038/s41587-020-0446-y
